word,auditory.mean,gustatory.mean,haptic.mean,interoceptive.mean,olfactory.mean,visual.mean,foot_leg.mean,hand_arm.mean,head.mean,mouth.mean,torso.mean,exclusivity.perceptual,dominant.perceptual,exclusivity.action,dominant.action,exclusivity.sensorimotor,dominant.sensorimotor
scatter,1.524,0.095,0.905,0.048,0.048,3.762,1.105,1.895,1.368,0.263,0.737,0.582,visual,0.304,hand_arm,0.316,visual
scattering,0.857,0.0,1.0,0.143,0.095,3.571,0.409,2.227,1.591,0.227,0.136,0.63,visual,0.455,hand_arm,0.348,visual
scene,2.238,0.476,0.81,0.714,1.0,4.429,0.5,0.75,3.4,0.7,0.35,0.409,visual,0.535,head,0.265,visual
scent,0.1,0.65,0.35,0.9,4.6,0.1,0.333,0.476,4.571,2.333,0.714,0.672,olfactory,0.503,head,0.297,olfactory
scientific,2.611,0.944,1.5,1.167,1.5,3.167,0.722,1.833,3.278,1.222,0.722,0.204,visual,0.329,head,0.137,head
scissor,1.0,0.167,3.056,0.444,0.222,3.444,0.6,3.2,1.35,0.25,0.25,0.393,visual,0.522,hand_arm,0.234,visual
scissors,1.0,0.0,3.048,0.143,0.0,3.381,0.15,3.7,1.7,0.05,0.3,0.447,visual,0.619,hand_arm,0.275,hand_arm
scraper,2.529,0.0,2.882,0.176,0.059,3.412,0.4,2.95,1.2,0.4,0.5,0.377,visual,0.468,hand_arm,0.235,visual
scratching,2.25,0.188,3.438,0.938,0.062,3.0,1.611,4.556,1.722,0.611,1.556,0.342,haptic,0.392,hand_arm,0.225,hand_arm
scream,4.2,0.067,0.267,1.133,0.467,1.8,0.0,0.053,2.158,4.632,0.947,0.521,auditory,0.595,mouth,0.295,mouth
sea,3.056,1.556,3.167,0.944,2.722,4.0,1.421,1.737,2.895,0.895,1.474,0.198,visual,0.238,head,0.13,visual
seal,2.706,0.0,1.941,0.176,1.059,3.882,0.158,2.421,2.211,0.579,0.211,0.398,visual,0.406,hand_arm,0.253,visual
seam,0.2,0.0,2.9,0.3,0.0,4.2,1.263,3.263,1.579,0.316,1.053,0.553,visual,0.394,hand_arm,0.279,visual
search,1.579,0.263,1.789,0.579,0.632,4.263,2.4,2.75,4.4,1.35,0.95,0.439,visual,0.291,head,0.197,head
searching,1.688,0.0,1.562,0.25,0.375,4.5,1.55,1.85,3.65,1.05,1.2,0.537,visual,0.28,head,0.255,visual
season,1.056,0.889,1.278,1.333,1.611,3.5,1.588,1.882,2.353,1.176,1.412,0.27,visual,0.14,head,0.144,visual
seasoning,0.333,4.417,1.194,0.667,3.111,2.972,0.25,1.75,1.5,3.656,0.344,0.322,gustatory,0.454,mouth,0.206,gustatory
seat,0.588,0.0,4.176,0.588,0.059,3.882,2.762,1.095,1.429,0.19,3.381,0.449,haptic,0.36,torso,0.23,haptic
second,0.65,0.0,0.4,0.4,0.0,2.0,1.143,1.238,1.667,0.952,0.714,0.58,visual,0.167,head,0.218,visual
secret,2.059,0.235,0.176,0.882,0.059,1.647,0.1,0.65,3.35,3.05,0.1,0.395,auditory,0.448,head,0.267,head
secretion,0.765,0.647,2.0,1.294,1.118,3.059,0.476,0.905,2.286,1.952,1.048,0.272,visual,0.271,head,0.166,visual
section,0.65,0.05,0.65,0.25,0.2,3.0,0.9,1.45,1.8,0.85,0.9,0.615,visual,0.161,head,0.276,visual
sectional,0.579,0.316,2.263,0.316,0.158,4.053,1.238,1.81,2.429,0.571,1.143,0.507,visual,0.258,head,0.262,visual
secure,1.1,0.25,1.45,2.4,0.25,2.9,0.611,2.333,2.0,0.722,0.778,0.317,visual,0.267,hand_arm,0.179,visual
