word,auditory.mean,gustatory.mean,haptic.mean,interoceptive.mean,olfactory.mean,visual.mean,foot_leg.mean,hand_arm.mean,head.mean,mouth.mean,torso.mean,exclusivity.perceptual,dominant.perceptual,exclusivity.action,dominant.action,exclusivity.sensorimotor,dominant.sensorimotor
delight,2.429,0.429,0.19,3.381,0.381,2.571,0.273,0.5,2.682,1.409,0.273,0.34,interoceptive,0.469,head,0.22,interoceptive
delightfulness,2.688,1.0,1.375,2.562,0.812,2.625,1.0,1.105,2.737,2.0,1.158,0.169,auditory,0.217,head,0.101,head
delusion,1.389,0.333,0.333,2.389,0.222,1.833,0.15,0.2,3.75,0.95,0.2,0.333,interoceptive,0.686,head,0.306,head
denial,1.529,0.0,0.0,1.353,0.0,1.176,0.0,0.0,2.556,1.667,0.111,0.377,auditory,0.59,head,0.305,head
deplore,2.381,0.429,0.381,1.762,0.381,2.571,0.842,1.158,3.316,3.0,0.789,0.277,visual,0.277,head,0.173,head
depot,1.111,0.056,0.333,0.222,0.333,3.722,0.944,0.889,1.222,0.278,0.222,0.635,visual,0.281,head,0.393,visual
description,3.278,0.333,0.556,0.278,0.444,3.889,0.2,1.1,3.1,2.65,0.2,0.411,visual,0.4,head,0.23,visual
desertion,1.5,0.0,0.091,1.5,0.0,2.955,2.833,1.167,3.167,1.111,1.833,0.489,visual,0.203,head,0.196,head
design,0.778,0.222,1.5,0.389,0.222,4.111,0.4,2.4,3.25,0.95,0.4,0.538,visual,0.385,head,0.266,visual
desperate,1.444,0.167,0.056,2.222,0.167,1.778,1.0,1.2,2.65,2.0,1.1,0.371,interoceptive,0.208,head,0.188,head
destroy,2.25,0.188,2.0,1.062,0.375,3.562,2.556,3.167,2.056,1.778,1.444,0.358,visual,0.157,hand_arm,0.165,visual
detail,1.947,1.368,2.053,1.0,1.316,4.053,0.579,2.158,3.632,1.895,0.579,0.26,visual,0.345,head,0.169,visual
detainer,0.714,0.0,0.643,0.214,0.0,2.0,0.444,1.111,1.056,0.333,0.278,0.56,visual,0.259,hand_arm,0.294,visual
determination,2.611,0.306,0.639,2.806,0.222,2.722,1.263,1.053,3.211,1.842,1.263,0.278,interoceptive,0.25,head,0.167,head
determine,1.0,0.188,0.312,2.312,0.125,1.688,0.389,0.667,3.111,0.889,0.5,0.389,interoceptive,0.49,head,0.267,head
determined,1.2,0.0,0.15,3.0,0.0,1.85,0.762,0.714,2.429,1.0,0.714,0.484,interoceptive,0.305,head,0.254,interoceptive
development,2.235,0.941,1.765,1.882,0.765,3.765,1.353,1.706,3.118,1.706,1.235,0.264,visual,0.206,head,0.147,visual
differ,2.188,0.625,1.312,1.438,0.688,2.375,0.1,0.65,2.25,1.6,0.25,0.203,visual,0.443,head,0.169,visual
difference,2.611,1.833,2.222,1.778,1.444,3.667,0.75,1.25,2.0,1.4,1.05,0.164,visual,0.194,head,0.146,visual
different,2.143,1.048,1.333,2.0,1.095,3.429,1.35,1.4,3.3,1.9,1.3,0.216,visual,0.216,head,0.117,visual
difficult,2.471,0.471,0.765,2.647,0.471,3.294,0.444,0.722,1.722,0.944,0.389,0.279,visual,0.316,head,0.203,visual
dimmer,0.0,0.0,0.471,0.059,0.0,4.235,0.045,1.727,2.545,0.045,0.182,0.889,visual,0.55,head,0.455,visual
dimness,0.125,0.062,0.125,0.562,0.062,4.688,0.579,0.421,3.368,0.526,0.474,0.822,visual,0.549,head,0.421,visual
dining,2.389,4.389,2.389,2.556,3.5,4.0,0.526,2.947,2.789,4.158,1.158,0.104,gustatory,0.314,mouth,0.125,gustatory
dinner,1.235,4.824,2.118,1.235,3.647,4.059,1.105,2.053,2.474,4.0,1.368,0.21,gustatory,0.263,mouth,0.132,gustatory
dipped,0.579,1.368,1.789,0.421,0.316,3.368,1.4,2.75,1.9,0.8,1.0,0.389,visual,0.248,hand_arm,0.195,visual
direction,1.526,0.211,0.474,1.053,0.158,3.632,1.762,2.381,3.095,1.571,0.905,0.493,visual,0.225,head,0.207,visual
directly,1.389,0.667,1.278,1.056,0.722,2.444,1.263,1.316,1.895,1.737,0.895,0.235,visual,0.141,head,0.121,visual
dirt,0.789,0.263,3.526,0.474,2.053,4.053,2.7,2.5,1.8,1.0,1.3,0.34,visual,0.183,foot_leg,0.185,visual
dirty,0.5,0.8,2.75,0.6,2.75,4.25,2.263,3.105,2.947,1.895,2.158,0.322,visual,0.098,hand_arm,0.156,visual
disagreeable,2.938,1.062,0.562,1.688,1.062,2.312,0.2,0.25,2.95,2.2,0.25,0.247,auditory,0.47,head,0.178,head
disappearance,1.471,0.118,0.118,0.765,0.0,2.353,1.5,1.556,2.333,1.5,1.278,0.488,visual,0.129,head,0.181,visual
disappointed,1.125,0.25,0.312,4.25,0.188,0.938,0.45,0.7,3.15,2.1,0.65,0.575,interoceptive,0.383,head,0.288,interoceptive
disappointing,1.529,0.412,0.294,2.353,0.294,1.412,0.95,1.55,2.55,1.8,1.1,0.327,interoceptive,0.201,head,0.158,head
disappointment,1.818,0.091,0.227,4.091,0.136,2.182,0.111,0.222,3.833,1.111,0.444,0.468,interoceptive,0.65,head,0.28,interoceptive
disaster,1.895,0.053,0.368,1.474,0.474,3.579,1.167,1.167,2.556,1.167,1.167,0.45,visual,0.192,head,0.234,visual
discharge,1.526,0.368,1.737,0.895,1.105,3.579,1.235,1.706,1.824,2.294,0.824,0.349,visual,0.187,mouth,0.188,visual
discolor,0.158,0.0,0.053,0.368,0.211,4.368,0.632,1.526,2.105,0.421,0.632,0.847,visual,0.317,head,0.417,visual
discrimination,3.35,0.4,0.3,1.3,0.15,3.3,0.6,0.75,2.75,1.8,0.65,0.364,auditory,0.328,head,0.208,auditory
disease,0.429,0.333,1.19,3.619,0.81,1.952,1.95,2.1,2.85,2.3,2.4,0.394,interoceptive,0.078,head,0.165,interoceptive
disgrace,3.105,0.316,0.368,2.421,0.263,3.211,0.4,0.85,2.8,1.9,0.45,0.304,visual,0.375,head,0.183,visual
disorder,2.25,0.0,0.5,1.312,0.0,3.625,1.2,1.4,3.65,1.95,1.25,0.472,visual,0.259,head,0.213,head
display,1.278,0.833,1.722,0.778,1.056,4.444,0.632,2.053,2.316,1.053,0.947,0.363,visual,0.241,head,0.223,visual
disposition,1.688,0.0,0.125,1.375,0.0,2.062,1.389,1.333,3.389,2.0,1.389,0.393,visual,0.216,head,0.23,head
dispute,3.611,0.0,0.222,1.0,0.0,2.556,0.4,1.2,2.75,3.35,0.4,0.489,auditory,0.364,mouth,0.233,auditory
distance,1.762,0.714,1.429,1.286,0.571,3.19,2.65,1.45,2.4,0.55,0.7,0.293,visual,0.271,foot_leg,0.158,visual
distaste,1.842,1.789,0.632,2.368,0.947,2.368,0.053,0.211,2.842,3.895,0.211,0.175,visual,0.533,mouth,0.224,mouth
distemper,1.083,0.0,0.0,0.75,0.0,2.5,0.294,0.471,2.0,1.118,0.471,0.577,visual,0.392,head,0.288,visual
distinguish,2.263,1.263,1.947,1.105,1.053,3.421,0.474,1.526,3.211,1.526,0.526,0.214,visual,0.377,head,0.161,visual
distinguishing,2.053,1.105,1.263,1.579,1.105,3.0,0.353,1.471,2.824,1.941,0.353,0.188,visual,0.356,head,0.155,visual
distractor,2.912,0.176,0.676,0.882,0.206,3.0,0.81,1.429,2.333,1.238,0.857,0.36,visual,0.229,head,0.194,visual
distress,2.95,0.1,0.55,4.15,0.2,3.3,1.222,1.389,3.333,2.0,1.556,0.36,interoceptive,0.222,head,0.195,interoceptive
distribution,1.4,0.35,1.7,0.4,0.25,3.3,0.7,2.1,2.05,1.0,0.7,0.412,visual,0.214,hand_arm,0.219,visual
disturbance,3.789,0.158,1.263,2.684,0.579,3.737,1.0,1.04,2.32,1.24,0.92,0.297,auditory,0.215,head,0.194,auditory
disturbed,1.368,0.211,0.211,2.895,0.211,2.105,0.222,0.167,2.833,0.611,0.222,0.383,interoceptive,0.658,head,0.247,interoceptive
disturber,2.647,0.235,0.412,1.176,0.471,3.294,1.238,1.286,2.048,1.952,0.762,0.371,visual,0.176,head,0.197,visual
disturbing,1.789,0.474,1.421,2.789,0.895,3.263,0.55,1.15,3.45,1.6,0.7,0.262,visual,0.389,head,0.165,head
diversion,2.15,0.05,0.6,0.8,0.45,3.05,0.812,1.062,2.688,1.062,0.5,0.423,visual,0.357,head,0.227,visual
dividing,1.391,0.087,2.391,1.0,0.217,3.739,0.542,2.583,2.458,1.167,0.208,0.414,visual,0.341,hand_arm,0.231,visual
division,1.5,0.111,0.722,0.611,0.111,3.667,0.316,1.368,2.474,0.474,0.316,0.529,visual,0.436,head,0.305,visual
dog,4.118,0.588,3.824,0.647,2.824,4.588,1.0,3.632,2.947,1.158,1.0,0.241,visual,0.27,hand_arm,0.152,visual
done,1.667,0.762,0.714,1.952,0.524,2.476,0.333,1.333,2.143,1.238,0.238,0.241,visual,0.36,head,0.167,visual
donkey,3.6,0.25,2.25,0.05,2.5,4.5,0.714,1.381,1.81,0.571,0.619,0.338,visual,0.243,head,0.244,visual
door,1.647,0.0,2.765,0.0,0.0,4.647,1.684,4.158,1.895,0.684,1.053,0.513,visual,0.367,hand_arm,0.251,visual
dot,0.118,0.176,0.353,0.176,0.059,4.235,0.15,1.25,1.65,0.25,0.45,0.816,visual,0.4,head,0.471,visual
double,1.389,0.222,1.0,0.333,0.222,4.111,0.722,1.722,2.333,0.611,0.444,0.534,visual,0.324,head,0.297,visual
doubling,1.167,0.111,0.722,0.5,0.167,3.222,0.364,0.682,1.773,0.591,0.227,0.528,visual,0.425,head,0.327,visual
doubt,2.05,0.15,0.0,3.85,0.05,1.55,0.273,0.636,3.636,1.773,0.455,0.503,interoceptive,0.497,head,0.267,interoceptive
doubtful,1.684,0.0,0.158,2.684,0.0,1.421,0.3,0.55,3.1,1.65,0.25,0.451,interoceptive,0.487,head,0.263,head
draught,0.793,1.379,1.241,0.759,0.931,2.828,0.632,1.474,1.895,2.842,1.316,0.261,visual,0.271,mouth,0.137,mouth
draw,0.312,0.0,2.375,0.5,0.062,4.062,0.0,4.056,2.722,0.056,0.444,0.556,visual,0.557,hand_arm,0.278,visual
drawer,1.412,0.176,2.706,0.235,0.118,3.647,0.55,3.5,2.3,0.2,0.7,0.426,visual,0.455,hand_arm,0.227,visual
drawing,0.579,0.105,2.0,0.263,0.0,4.684,0.053,4.211,3.053,0.105,0.474,0.614,visual,0.527,hand_arm,0.302,visual
dream,2.176,0.824,1.0,3.941,0.706,2.824,0.421,0.368,4.0,0.579,0.789,0.282,interoceptive,0.59,head,0.206,head
dreariness,1.062,0.0,0.375,3.062,0.062,2.438,0.421,0.579,2.947,1.368,0.421,0.438,interoceptive,0.44,head,0.24,interoceptive
dress,0.353,0.0,3.412,0.529,0.059,4.353,2.211,2.526,2.368,0.316,2.789,0.5,visual,0.242,torso,0.23,visual
dressing,0.875,1.938,2.125,0.625,1.75,3.625,1.941,3.0,2.176,1.412,1.882,0.274,visual,0.153,hand_arm,0.141,visual
drink,1.182,4.727,2.5,2.545,2.136,3.545,0.05,2.6,1.75,4.95,0.95,0.213,gustatory,0.476,mouth,0.182,mouth
drunk,2.353,1.588,0.882,4.0,1.941,3.059,1.789,2.211,3.421,3.632,2.0,0.226,interoceptive,0.141,mouth,0.116,interoceptive
due,2.0,0.294,0.471,1.412,0.294,2.412,0.15,0.6,2.05,0.45,0.35,0.308,visual,0.528,head,0.216,visual
dull,2.647,1.412,2.471,2.235,1.235,3.588,0.429,1.476,2.619,1.048,0.476,0.173,visual,0.362,head,0.161,visual
dust,0.5,0.188,2.688,0.25,1.25,4.062,0.35,2.3,2.75,1.1,0.6,0.434,visual,0.338,head,0.242,visual
duster,0.914,0.143,3.114,0.257,0.571,3.514,0.263,1.737,1.105,0.526,0.316,0.396,visual,0.373,hand_arm,0.271,visual
dusting,0.353,0.059,1.824,0.059,0.412,3.529,0.737,4.105,1.263,0.632,1.053,0.557,visual,0.446,hand_arm,0.289,hand_arm
dusty,0.053,0.0,2.526,0.316,0.842,4.053,0.526,2.263,3.053,1.421,0.474,0.52,visual,0.333,head,0.261,visual
ear,2.778,0.056,3.056,1.444,0.278,3.833,0.048,0.762,3.619,0.19,0.095,0.33,visual,0.758,head,0.234,visual
early,1.15,0.0,0.3,2.4,0.1,2.45,0.905,1.0,2.905,0.762,1.19,0.383,visual,0.317,head,0.221,head
earnest,2.278,0.0,0.444,1.056,0.0,1.556,0.111,0.5,3.0,1.444,0.111,0.427,auditory,0.559,head,0.286,head
earning,1.235,0.0,0.412,0.647,0.0,2.706,1.278,2.444,3.167,1.722,1.333,0.541,visual,0.19,head,0.212,head
ease,1.05,0.1,1.0,2.0,0.15,1.6,1.25,1.75,2.35,1.3,1.2,0.322,interoceptive,0.146,head,0.164,head
easily,0.5,0.167,1.0,1.111,0.167,1.611,0.8,1.1,1.3,0.85,0.9,0.317,visual,0.101,head,0.152,visual
easy,1.4,0.067,1.067,2.133,0.067,2.067,1.05,1.75,2.3,1.55,0.75,0.304,interoceptive,0.209,head,0.157,head
eat,1.263,4.526,2.158,2.474,2.421,2.632,0.05,2.9,2.0,4.85,1.6,0.211,gustatory,0.421,mouth,0.179,mouth
eaten,1.053,3.737,1.263,2.895,1.263,2.789,0.059,1.353,1.765,4.176,1.824,0.206,gustatory,0.449,mouth,0.186,mouth
eating,1.45,4.75,2.55,2.8,2.65,2.9,0.263,2.0,1.895,4.684,1.579,0.193,gustatory,0.424,mouth,0.163,gustatory
echo,4.644,0.075,0.215,0.616,0.077,0.159,0.158,0.368,3.947,1.737,0.211,0.79,auditory,0.59,head,0.374,auditory
eclipse,0.136,0.0,0.0,0.136,0.045,4.455,0.35,0.45,3.3,0.3,0.2,0.933,visual,0.674,head,0.475,visual
edible,0.545,4.5,1.909,1.818,2.864,3.182,0.25,1.5,2.7,4.65,0.8,0.267,gustatory,0.444,mouth,0.178,mouth
educated,2.588,0.0,0.294,1.118,0.059,2.235,0.095,0.571,3.667,1.714,0.048,0.411,auditory,0.594,head,0.296,head
education,3.667,0.333,1.111,0.444,0.444,3.889,0.706,1.529,4.235,2.059,0.706,0.36,visual,0.382,head,0.204,head
eel,0.111,1.0,2.056,0.0,0.333,3.556,0.579,1.316,2.737,0.895,0.737,0.504,visual,0.345,head,0.267,visual
egg,0.875,4.062,3.188,0.25,2.938,3.562,0.429,2.0,1.714,2.857,0.476,0.256,gustatory,0.325,mouth,0.171,gustatory
eggplant,0.062,3.875,2.438,0.312,2.062,4.0,0.167,2.222,1.889,3.278,0.611,0.309,visual,0.381,mouth,0.188,visual
eight,2.0,0.158,1.0,0.316,0.158,3.526,1.0,1.647,2.706,1.765,0.882,0.471,visual,0.228,head,0.222,visual
either,0.706,0.059,0.118,0.647,0.118,1.412,0.158,0.684,1.211,0.684,0.0,0.442,visual,0.442,head,0.244,visual
elastic,1.056,0.167,3.5,0.333,0.056,3.889,1.286,2.619,2.333,0.952,1.143,0.426,visual,0.2,hand_arm,0.221,visual
elbow,0.25,0.143,3.857,1.0,0.286,3.821,0.2,3.95,1.05,0.25,0.4,0.397,haptic,0.641,hand_arm,0.25,hand_arm
election,3.421,0.211,0.053,0.579,0.0,3.211,0.389,1.556,3.0,1.833,0.611,0.458,auditory,0.353,head,0.23,auditory
elegant,1.5,0.812,0.812,0.938,0.688,3.938,1.632,1.789,3.0,1.789,1.684,0.374,visual,0.138,head,0.175,visual
element,2.5,1.875,2.438,1.438,1.812,3.688,1.737,2.632,3.684,1.947,1.421,0.164,visual,0.198,head,0.09,visual
elephant,3.35,0.0,1.95,0.55,1.95,4.35,0.429,0.762,2.048,0.286,0.19,0.358,visual,0.5,head,0.274,visual
elevation,0.3,0.1,0.6,2.45,0.2,3.3,2.316,1.842,2.474,0.842,1.579,0.46,visual,0.18,head,0.2,visual
else,2.375,0.0,0.812,0.562,0.062,2.75,0.619,0.762,2.0,1.238,0.524,0.419,visual,0.287,head,0.235,visual
emigration,1.417,0.167,0.667,0.75,0.25,2.5,1.286,0.714,1.5,0.5,0.643,0.406,visual,0.215,head,0.225,visual
empty,0.824,0.235,2.118,2.0,0.176,4.059,0.158,1.053,1.421,0.526,0.895,0.412,visual,0.312,head,0.29,visual
enable,2.562,0.0,0.625,1.5,0.0,2.688,1.0,1.632,2.211,2.158,0.947,0.364,visual,0.159,head,0.175,visual
enclosure,0.667,0.167,2.444,0.611,0.111,3.667,0.75,1.55,2.3,0.45,0.85,0.464,visual,0.314,head,0.262,visual
end,1.444,0.0,0.444,1.111,0.0,2.556,0.857,1.095,2.381,1.238,0.81,0.46,visual,0.246,head,0.214,visual
ended,2.778,0.0,0.556,0.833,0.0,3.333,0.579,0.684,1.632,0.632,0.316,0.444,visual,0.342,head,0.294,visual
enlarge,0.2,0.04,1.24,0.4,0.04,3.6,1.0,2.417,2.583,0.792,1.0,0.645,visual,0.23,head,0.267,visual
enough,1.5,0.889,1.0,2.111,0.722,2.444,0.8,1.4,2.6,2.3,1.3,0.199,visual,0.214,head,0.11,head
entangled,1.167,0.0,2.333,0.778,0.056,4.0,1.75,2.65,1.95,0.3,1.3,0.48,visual,0.296,hand_arm,0.246,visual
entering,1.5,0.111,1.389,0.722,0.389,3.889,3.1,1.8,2.7,0.95,1.9,0.472,visual,0.206,foot_leg,0.205,visual
enthusiastic,2.143,0.143,0.286,3.619,0.095,1.952,1.25,2.05,3.25,2.5,1.35,0.428,interoceptive,0.192,head,0.189,interoceptive
enthusiastically,2.722,0.278,0.833,3.333,0.333,2.5,1.45,2.15,3.5,3.35,1.5,0.306,interoceptive,0.172,head,0.147,head
entire,1.45,0.75,1.0,1.25,0.65,2.3,1.9,2.0,2.3,1.95,1.8,0.223,visual,0.05,head,0.095,visual
entirely,1.111,0.333,1.056,0.667,0.333,2.667,1.4,1.85,2.55,1.75,1.4,0.378,visual,0.128,head,0.154,visual
entrance,1.278,0.0,1.167,0.278,0.0,4.111,1.947,1.789,1.526,0.421,1.0,0.602,visual,0.228,foot_leg,0.304,visual
equal,1.45,0.55,0.85,0.75,0.3,3.2,1.05,1.55,2.65,1.6,0.8,0.408,visual,0.242,head,0.197,visual
equator,0.176,0.0,0.412,0.824,0.0,2.353,0.632,0.632,1.211,0.474,0.737,0.625,visual,0.2,head,0.316,visual
erection,0.35,0.3,3.65,2.8,0.15,3.85,0.833,1.556,1.944,0.389,2.556,0.333,visual,0.298,torso,0.201,visual
error,1.353,0.294,0.118,1.059,0.176,3.235,0.619,1.095,2.524,1.429,0.571,0.5,visual,0.313,head,0.25,visual
eruption,2.688,0.0,0.438,0.5,0.875,3.75,0.571,0.762,1.714,1.857,1.429,0.455,visual,0.203,mouth,0.257,visual
escape,1.35,0.0,0.75,1.55,0.05,2.75,3.476,2.905,3.524,1.524,2.286,0.426,visual,0.146,head,0.175,head
essential,1.5,0.444,0.778,1.444,0.556,2.167,0.364,0.909,2.045,0.682,0.364,0.25,visual,0.385,head,0.16,visual
established,0.812,0.188,0.812,0.375,0.062,2.438,0.35,0.55,1.8,0.8,0.25,0.507,visual,0.413,head,0.281,visual
establishment,1.368,0.368,0.737,0.737,0.263,3.0,1.263,1.368,2.368,1.263,0.842,0.423,visual,0.215,head,0.202,visual
estrange,1.938,0.875,0.875,2.75,0.688,2.25,0.529,0.706,2.353,2.176,0.412,0.22,interoceptive,0.314,head,0.15,interoceptive
estrangement,2.182,0.364,0.545,2.273,0.455,2.182,0.389,0.5,2.111,0.778,0.5,0.239,interoceptive,0.403,head,0.155,interoceptive
eucalyptus,0.062,2.0,2.0,0.25,3.188,3.25,0.278,1.333,1.5,1.056,0.389,0.297,visual,0.268,head,0.208,visual
evasion,1.176,0.176,0.176,1.118,0.059,1.824,2.421,1.632,2.421,1.368,1.316,0.39,visual,0.121,head,0.173,foot_leg
even,0.389,0.0,1.222,0.444,0.0,2.944,0.474,1.368,2.0,1.0,0.737,0.589,visual,0.274,head,0.278,visual
evening,1.1,0.2,0.35,0.7,0.6,3.6,0.722,1.0,2.222,0.444,0.778,0.519,visual,0.344,head,0.29,visual
evenly,0.632,0.316,1.421,0.842,0.263,2.684,0.737,2.211,2.105,0.684,0.579,0.393,visual,0.258,hand_arm,0.194,visual
ever,0.688,0.188,0.375,0.625,0.25,1.0,0.381,0.524,1.286,0.714,0.381,0.26,visual,0.275,head,0.171,head
every,1.278,0.5,0.889,0.722,0.5,1.556,0.9,1.1,1.5,1.2,0.95,0.194,visual,0.106,head,0.095,visual
everybody,3.444,0.0,1.056,0.611,1.056,3.833,0.737,1.158,2.211,1.158,0.789,0.383,visual,0.243,head,0.239,visual
everything,3.743,3.257,3.486,3.371,3.514,4.057,3.29,3.581,3.806,3.323,3.29,0.037,visual,0.03,head,0.021,visual
everywhere,2.25,0.0,0.875,0.75,0.312,3.938,1.211,1.158,2.211,0.947,1.105,0.485,visual,0.19,head,0.267,visual
evil,2.316,0.368,1.105,2.579,0.579,3.0,1.053,1.211,2.316,1.737,1.0,0.265,visual,0.18,head,0.152,visual
ex,1.667,0.133,0.467,0.933,0.667,2.267,0.65,0.85,2.0,1.65,0.8,0.348,visual,0.227,head,0.177,visual
exact,1.55,0.9,1.85,1.5,0.6,3.75,0.7,1.6,1.95,0.9,0.35,0.31,visual,0.291,head,0.217,visual
exaggerating,3.556,0.111,0.278,1.611,0.167,2.111,0.35,1.1,2.4,2.8,0.5,0.44,auditory,0.343,mouth,0.23,auditory
exaltation,1.938,0.438,0.375,2.062,0.438,2.125,0.706,1.471,2.706,2.412,0.941,0.237,visual,0.243,head,0.149,head
example,2.556,0.222,1.0,0.111,0.167,3.278,1.316,1.947,2.632,3.0,1.316,0.432,visual,0.165,mouth,0.18,visual
excellence,1.278,0.167,0.111,2.611,0.167,2.778,0.9,1.25,3.3,1.45,1.15,0.375,visual,0.298,head,0.21,head
excellent,2.0,1.611,1.778,1.944,1.611,3.333,0.8,1.25,2.3,2.25,0.75,0.14,visual,0.211,head,0.132,visual
exception,1.381,0.381,0.524,0.81,0.571,1.619,0.35,0.55,1.8,0.8,0.3,0.234,visual,0.395,head,0.165,head
exceptional,2.0,1.0,0.824,1.059,0.824,2.941,0.55,0.85,2.55,0.85,0.55,0.245,visual,0.374,head,0.171,visual
excess,1.562,1.0,1.375,1.312,0.688,3.375,0.762,1.238,1.81,1.571,0.857,0.289,visual,0.168,head,0.173,visual
exchange,2.5,0.0,0.889,0.0,0.056,3.944,0.81,3.619,2.476,2.238,0.857,0.534,visual,0.281,hand_arm,0.227,visual
excitement,3.684,0.526,1.211,4.526,0.684,4.105,1.25,1.4,3.1,1.9,1.25,0.271,interoceptive,0.208,head,0.169,interoceptive
exclamation,4.158,0.263,0.211,0.474,0.263,1.789,0.55,1.65,2.3,3.85,0.6,0.551,auditory,0.369,mouth,0.245,auditory
excuse,2.65,0.0,0.0,0.65,0.0,0.8,0.211,0.368,2.368,2.632,0.211,0.646,auditory,0.418,mouth,0.268,auditory
exercise,1.368,0.053,1.368,3.105,0.737,3.895,4.333,4.429,2.476,1.048,3.952,0.365,visual,0.208,hand_arm,0.163,hand_arm
exhaust,1.722,0.0,0.278,0.944,2.944,3.056,1.45,1.1,2.0,1.35,0.95,0.342,visual,0.153,head,0.193,visual
exhibition,2.812,0.0,1.062,0.312,0.375,4.312,1.182,1.864,2.909,1.409,1.091,0.486,visual,0.215,head,0.249,visual
experience,3.0,2.45,2.65,3.0,2.55,3.45,2.105,2.526,3.632,2.158,2.368,0.058,visual,0.119,head,0.051,head
experiment,1.667,1.444,2.222,0.833,1.556,3.556,1.333,2.333,3.0,1.476,1.095,0.241,visual,0.206,head,0.133,visual
explain,4.222,0.167,0.167,0.667,0.0,2.167,0.15,0.8,2.6,3.5,0.25,0.571,auditory,0.459,mouth,0.287,auditory
explaining,4.158,0.0,0.105,0.895,0.0,2.263,0.053,0.421,2.316,3.684,0.0,0.56,auditory,0.569,mouth,0.299,auditory
explanation,4.5,0.111,0.111,0.5,0.111,2.0,0.15,0.65,3.0,4.05,0.4,0.598,auditory,0.473,mouth,0.282,auditory
express,1.833,0.056,0.389,1.667,0.056,2.556,0.737,1.579,2.0,2.789,0.632,0.381,visual,0.279,mouth,0.191,mouth
expressed,3.222,0.278,0.889,1.611,0.278,2.722,1.05,1.75,2.75,3.2,1.0,0.327,auditory,0.226,mouth,0.157,auditory
expression,3.158,0.368,1.316,1.947,0.632,3.895,0.778,1.5,3.556,3.611,0.778,0.312,visual,0.277,mouth,0.164,visual
extension,0.368,0.158,1.737,0.211,0.158,2.579,1.368,2.421,1.579,0.211,0.579,0.465,visual,0.359,hand_arm,0.213,visual
exterior,0.333,0.067,2.067,0.267,0.333,4.933,0.842,1.947,1.947,0.632,0.579,0.608,visual,0.23,hand_arm,0.349,visual
external,0.882,0.059,1.647,0.412,0.059,3.235,0.909,1.182,2.409,0.727,0.955,0.505,visual,0.272,head,0.255,visual
extra,1.0,1.0,1.824,0.941,0.824,3.294,0.5,1.05,1.85,1.15,0.55,0.278,visual,0.265,head,0.2,visual
extract,1.0,0.526,1.579,0.105,0.316,3.0,0.8,2.3,1.3,1.15,0.4,0.444,visual,0.319,hand_arm,0.232,visual
extractor,1.375,0.0,2.0,0.312,0.125,3.375,0.286,1.952,1.476,0.238,0.286,0.47,visual,0.404,hand_arm,0.295,visual
extraordinarily,2.056,0.556,0.611,1.5,0.389,2.667,0.524,0.619,2.095,1.143,0.667,0.293,visual,0.311,head,0.178,visual
extravagant,2.105,1.053,1.526,1.632,1.053,3.737,0.667,1.429,2.524,1.333,0.81,0.242,visual,0.275,head,0.172,visual
extreme,2.05,0.95,1.25,1.75,0.85,2.35,0.947,1.474,2.526,1.421,0.947,0.163,visual,0.216,head,0.101,head
eye,0.278,0.056,1.5,1.056,0.0,4.611,0.0,0.238,5.0,0.143,0.0,0.615,visual,0.929,head,0.388,head
eyeglasses,0.158,0.0,2.947,0.421,0.0,4.684,0.0,1.353,4.294,0.0,0.0,0.571,visual,0.76,head,0.338,visual
eyes,0.15,0.0,1.1,1.15,0.0,4.25,0.111,0.222,4.667,0.167,0.056,0.639,visual,0.883,head,0.393,head
eyesight,0.214,0.071,0.143,1.0,0.071,4.643,0.2,0.4,4.15,0.35,0.25,0.744,visual,0.738,head,0.398,visual
face,0.25,0.35,3.1,0.45,0.3,4.95,0.1,0.8,4.6,2.85,0.2,0.5,visual,0.526,head,0.27,visual
fact,3.056,0.222,0.417,0.861,0.25,3.167,0.061,0.333,3.636,2.0,0.303,0.369,visual,0.565,head,0.25,head
failing,1.667,0.167,0.5,2.667,0.222,2.833,1.091,1.182,2.818,1.136,1.273,0.331,visual,0.23,head,0.171,visual
fainting,0.9,0.2,0.45,3.7,0.3,3.4,1.9,1.85,3.3,1.3,2.0,0.391,interoceptive,0.193,head,0.181,interoceptive
fairy,0.85,0.0,0.35,0.0,0.0,2.35,0.85,1.05,1.2,0.85,1.0,0.662,visual,0.071,head,0.276,visual
famous,2.0,0.053,0.0,0.789,0.053,3.368,0.842,0.895,2.263,1.211,0.789,0.538,visual,0.246,head,0.275,visual
famously,2.2,0.0,0.25,0.4,0.1,2.75,0.857,1.048,2.524,1.714,0.952,0.482,visual,0.235,head,0.215,visual
fancy,1.0,0.812,1.375,1.312,0.812,3.562,0.333,0.5,2.056,0.722,0.333,0.31,visual,0.437,head,0.252,visual
farther,1.278,0.0,0.333,0.333,0.0,4.389,1.238,1.048,1.857,0.286,0.476,0.693,visual,0.32,head,0.391,visual
fast,1.842,0.0,1.105,2.158,0.0,3.421,3.158,2.158,2.263,1.526,1.895,0.401,visual,0.148,foot_leg,0.175,visual
feat,1.471,0.294,0.824,1.176,0.471,2.529,1.75,2.2,2.3,1.35,1.65,0.33,visual,0.103,head,0.14,visual
feather,0.091,0.03,3.515,0.303,0.212,4.03,0.158,1.579,0.895,0.0,0.0,0.489,visual,0.6,hand_arm,0.373,visual
