word,appears_in
order,"['3po', '11po', '35po', '58po', '109po']"
suggesting,['3po']
pin,"['3po', '16po', '72po']"
disappointing,['3po']
rudimentary,['3po']
analysed [analyze],['3po']
strangely,"['3po', '4po', '11po']"
earnest,"['3po', '6po', '58po']"
point,"['3po', '53po']"
coffee,"['4to', '4po', '11po', '60po', '68po']"
double,"['4po', '98po', '109po']"
new,"['4po', '23to', '84po', '103po']"
image,['4po']
splendor,"['4po', '109po']"
dirty,"['4po', '17po', '58po', '59po', '62po', '72po', '87po']"
yellow,"['4po', '10po', '13po', '23po', '31po', '37po', '58po', '62po', '68po', '72po', '109po']"
sign,"['4po', '7po', '11po', '17po', '52po', '59po', '60po', '72po', '109po']"
mentioned [mention],"['4po', '109po']"
detainer,['4po']
resemblance,"['4po', '17po', '59po', '109po']"
dirtier [dirty],['4po']
distincter [distinct],['4po']
mixture,"['4po', '60po', '109po']"
whiter [white],['4po']
coal,"['4po', '58po', '70po']"
never,"['4po', '19po', '58po', '60po', '95po', '97po', '109po']"
altogether,"['4po', '11po', '12po', '30po', '58po', '59po', '60po', '62po', '109po']"
reason,"['4po', '10po', '20po', '22po', '33po', '35po', '58po', '59po', '60po', '80po', '109po']"
slighter [slight],['4po']
simpler,"['4po', '58po', '109po']"
negative,['4po']
answer,"['4po', '80po', '109po']"
sore,['4po']
sounder [solid],['4po']
intention,['4po']
wishing,['4po']
furniture,"['4po', '109po']"
time,"['4po', '10po', '12po', '17po', '18po', '35po', '36to', '38po', '58po', '60po', '61po', '67po', '72po', '95po', '107po', '109po']"
show,"['4po', '11po', '20po', '24po', '27po', '28po', '29po', '42po', '45po', '52po', '58po', '59po', '60po', '78po', '98po', '102po', '103po', '109po']"
message,"['4po', '12po']"
late,"['4po', '95po']"
later,['4po']
hanging,"['4po', '64po', '80po', '109po']"
blight,"['4po', '68po']"
torn,"['4po', '109po']"
rosewood,['4po']
dangerous,['4po']
cheap,['4po']
cheaper [cheap],"['4po', '59po']"
amusing,['4po']
side,"['4po', '17po', '24po']"
sooner,"['4po', '10po', '58po']"
fewer [few],['4po']
certain,"['4po', '12po', '60po']"
necessity,"['4po', '11po', '58po', '60po', '68po', '109po']"
dwindled [dwindle],['4po']
contained [contain],"['4po', '58po', '109po']"
distress,"['4po', '58po']"
number,"['4po', '72po']"
astonishment,"['4po', '60po']"
necessary,"['4po', '9po', '10po', '12po', '13po', '14po', '17po', '42po', '47po', '58po', '60po', '61po', '63po', '71po', '92po', '109po']"
mingle,"['4po', '59po']"
settling,['4po']
stationing [station],['4po']
cleaning,['4po']
shatter,"['4po', '95po']"
scatter,['4po']
scattering,['4po']
custom,"['4po', '10po', '16po', '60po']"
soap,"['4po', '54po']"
silk,"['4po', '59po', '68po']"
design,"['4po', '58po', '109po']"
concentrating [concentrate],['4po']
illusion,['4po']
illustration,['4po']
perfect,"['4po', '58po', '60po', '109po']"
accustom,['4po']
lining,"['4po', '58po']"
shape,"['4po', '5po', '59po', '85po', '109po']"
ribbon,"['4po', '7po', '23po', '58po', '109po']"
solid,"['4po', '59po', '61po', '62po', '109po']"
quite,"['4po', '11po', '14po', '60po', '109po']"
standing,"['4po', '16po', '60po', '109po']"
heaviness,['4po']
morning,"['4po', '58po', '60po', '109po']"
enough,"['4po', '7po', '11po', '21po', '48po', '109po']"
nicely,"['4po', '38po']"
may,"['4po', '109po']"
exaggerating,"['4po', '58po']"
strongly,['4po']
sincerely,"['4po', '58po']"
fainting,['4po']
flattering,['4po']
everything,"['4po', '14po', '58po', '109po']"
copper,"['5to', '5po', '58po', '109po']"
darker [dark],"['5po', '58po']"
heavy,"['5po', '61po', '109po']"
melody,"['5po', '109po']"
harder,['5po']
relaxation,"['5po', '60po']"
strength,"['5po', '27po']"
spread,"['5po', '16po', '37po', '58po', '60po', '109po']"
fuller,['5po']
places [place],"['5po', '6po', '27po', '29po', '31po', '37po', '47po', '70po']"
empty,"['5po', '10po', '109po']"
elegant,"['6to', '12po', '22po']"
charm,"['6po', '34po']"
doubtful,['6po']
rose,"['6po', '40po', '48po', '54po', '106po']"
gate,"['6po', '52po']"
surrounding,"['6po', '58po']"
inside,"['6po', '58po', '107po']"
let,"['6po', '54po', '57po', '95po']"
upright,['6po']
mildreds [person],['7to']
