word,appears_in,Auditory.mean,Dominant.action,Dominant.perceptual,Dominant.sensorimotor,Exclusivity.action,Exclusivity.perceptual,Exclusivity.sensorimotor,Foot_leg.mean,Gustatory.mean,Hand_arm.mean,Haptic.mean,Head.mean,Interoceptive.mean,Mouth.mean,Olfactory.mean,Torso.mean,Visual.mean
genuine,['2po'],2,head,interoceptive,head,0.245,0.235,0.134,0.75,0.421,1.4,1,2.6,2.474,1.65,0.579,1.15,2.263
get,['52po'],1.471,hand_arm,visual,hand_arm,0.32,0.244,0.159,1,0.647,2.952,1.529,1.571,1,0.952,0.588,0.667,2.471
getting,['2po'],1.062,hand_arm,visual,hand_arm,0.444,0.404,0.225,0.526,0.125,2.684,1.875,1.158,0.375,0.474,0.125,0.368,2.625
gilded,['35po'],0.706,hand_arm,visual,visual,0.256,0.581,0.296,0.562,0,1.688,1.118,1.562,0.294,0.625,0,0.438,2.941
girls,['2po'],3.5,head,visual,visual,0.148,0.302,0.174,1.3,0.444,1.85,2.333,2.75,0.944,2.15,1.722,1.75,4.5
giving,"['1po', '11po', '109po']",1.562,hand_arm,visual,hand_arm,0.378,0.357,0.235,0.25,0.062,4.2,1.312,2.85,1.5,2.25,0.125,0.9,2.625
glass,"['0to', '0po', '11po', '47po', '59po', '80po', '109po']",1.211,hand_arm,visual,visual,0.454,0.442,0.269,0.15,0.211,2.85,3.368,2.05,0.105,0.7,0.184,0.2,4.211
glasses,"['25to', '41po', '61po']",0.2,head,visual,visual,0.713,0.604,0.341,0.05,0.05,1.15,2.45,4.15,0.15,0.35,0.05,0.05,4.55
glazed,['1to'],0.4,head,visual,visual,0.451,0.326,0.203,0.25,2.45,1.35,1.4,2.95,0.35,1.35,1.05,0.2,3.25
glees,['83po'],3.056,head,auditory,auditory,0.261,0.265,0.15,0.722,0.333,1,0.778,2.778,2.944,2.056,0.389,1.333,2.778
glide,"['35po', '60po']",0.625,foot_leg,visual,visual,0.276,0.465,0.222,2.65,0,2,1.75,1.1,1.438,0.5,0,1.55,3.312
gliding,"['59po', '109po']",1.167,foot_leg,visual,visual,0.187,0.34,0.185,2.316,0.056,2.158,2.778,2.105,2.722,0.684,0.111,1.474,3.611
glitter,['1to'],0,hand_arm,visual,visual,0.284,0.68,0.337,0.6,0,2.4,2,2.35,0.105,0.5,0,0.85,4.474
glittering,['1po'],0.333,head,visual,visual,0.612,0.844,0.464,0.105,0,0.842,0.467,2.684,0,0.211,0,0.368,4.333
gloom,['58po'],1.471,head,interoceptive,interoceptive,0.591,0.421,0.279,0.091,0,0.091,0.118,2.455,3.294,0.909,0,0.455,2.941
go,"['52po', '88po', '94po', '105po', '107po']",1.737,foot_leg,visual,foot_leg,0.159,0.248,0.16,3.6,0.474,1.95,0.737,2.6,1.895,1.75,0.579,1.75,2.421
goat,['56po'],2.7,head,visual,visual,0.383,0.261,0.189,0.6,1.3,2,3.1,2.9,0.55,0.8,2.55,0.35,4.35
goats,['58po'],2.7,head,visual,visual,0.383,0.261,0.189,0.6,1.3,2,3.1,2.9,0.55,0.8,2.55,0.35,4.35
goes,['49po'],1.278,foot_leg,visual,visual,0.203,0.5,0.222,2.316,0,1.263,0.778,1.842,0.778,0.842,0.056,1,2.889
gold,['66po'],0.176,head,visual,visual,0.43,0.602,0.321,0.2,0,2.75,2.529,2.75,0.059,0.2,0,0.15,4.176
golfing,['63po'],2.2,hand_arm,visual,hand_arm,0.282,0.4,0.179,3.611,0,4.278,2.533,3.111,0.6,0.278,0.467,2.889,3.867
good,['58po'],2.529,head,visual,head,0.231,0.079,0.09,1.3,1.882,1.5,1.941,3.25,2.765,1.9,2.059,1.15,3
goods,['63po'],1.062,hand_arm,visual,visual,0.236,0.417,0.203,1,0.625,3,2.562,2.778,0.062,1.556,0.688,0.833,3.688
grace,"['9po', '22po']",2.5,head,visual,visual,0.122,0.378,0.166,1.579,0.056,1.579,0.361,2.684,1.528,2.105,0.111,1.526,2.861
gracious,"['45po', '58po']",2.8,head,visual,visual,0.305,0.347,0.188,0.5,0.15,1.1,0.4,2.65,1.9,2.05,0.1,0.75,3
graciously,['58po'],3,head,visual,visual,0.186,0.4,0.183,1,0,2,0.125,2.667,1.562,2.619,0,0.952,3.125
grain,"['78po', '109po']",0.421,mouth,visual,visual,0.312,0.315,0.18,0.65,2.684,2,2.368,2.05,0.368,2.8,0.895,0.35,3.632
grand,"['69po', '97po']",2.294,head,visual,visual,0.268,0.297,0.178,0.842,1.059,1.474,1,2.474,1.294,0.947,0.588,0.737,3.471
grass,"['35po', '62po', '84po']",0.74,foot_leg,visual,visual,0.307,0.315,0.187,3.158,0.575,2.421,3.42,2.895,0.438,0.474,3.033,0.316,4.412
gratitude,"['1po', '2po']",3.05,head,auditory,auditory,0.323,0.347,0.184,0.4,0.1,1.15,0.6,2.9,2.2,2.9,0,0.4,2.85
great,['7po'],1.556,head,visual,visual,0.205,0.231,0.135,0.85,1.056,0.8,0.5,2.05,2.278,1.4,0.778,1,2.5
greatness,['58po'],1.421,head,visual,head,0.144,0.269,0.141,1.81,0.895,2,0.737,3.19,2.526,2.286,0.421,1.619,2.789
greediness,['35po'],2.679,head,visual,visual,0.338,0.289,0.174,0.3,0.429,1.9,0.536,2.65,2.179,1.65,0.429,0.45,3.143
green,"['2po', '3po', '11po', '13po', '19po', '45po', '54po', '58po', '60po', '61po', '66po', '68po', '72po', '81po', '109po']",0.263,head,visual,visual,0.685,0.848,0.458,0.2,0.158,0.25,0.053,3.25,0.158,0.5,0.105,0.25,4.474
grey,"['7po', '10po', '14po', '54po', '60po']",0.3,head,visual,visual,0.647,0.752,0.404,0.333,0.15,0.333,0.2,3.476,0.35,0.381,0.25,0.333,4.4
grinding,['2po'],2.667,mouth,visual,visual,0.135,0.253,0.128,1.444,0.333,2.556,2.278,1.667,1.444,2.778,0.5,1.444,2.889
groan,['2po'],4.07,mouth,auditory,mouth,0.645,0.408,0.272,0.273,0.209,0.182,0.488,1.364,2.628,4.636,0.256,0.455,1.814
guess,"['64po', '109po']",2.059,head,auditory,head,0.458,0.455,0.318,0.35,0.059,0.35,0.176,3.9,1,2.8,0,0.35,1.235
guessing,['63po'],2.111,head,auditory,head,0.556,0.286,0.279,0.05,0.222,0.8,0.667,3.7,1.556,2.1,0.333,0,1.722
guided,['15po'],2.15,head,visual,visual,0.139,0.423,0.166,1.947,0.05,2.632,1.35,2.737,0.35,2.474,0.15,1.211,3.05
gurgle,['60po'],4.2,mouth,auditory,auditory,0.567,0.383,0.236,0.1,1.5,0.15,0.6,2.05,2.1,4.1,0.25,0.65,1.65
habitual,['36po'],1.8,head,visual,head,0.21,0.335,0.165,1.294,0.4,1.559,0.629,2.941,0.971,1.588,0.4,1.147,2.714
hair,"['27po', '109po']",0.5,head,visual,visual,0.404,0.375,0.21,0.905,0.222,2.19,3.778,4.048,0.278,0.524,1.944,1.048,4.389
half,"['29po', '69po']",0.35,hand_arm,visual,visual,0.254,0.588,0.355,0.368,0.1,1.263,1.65,1.211,0.25,0.579,0,0.316,3.35
ham,"['58po', '66po', '69po', '97po']",0.5,mouth,gustatory,gustatory,0.406,0.264,0.201,0,4.688,1.889,2.562,2.222,1.188,3,3.688,0.278,3.25
hammer,['79po'],3.526,hand_arm,visual,hand_arm,0.42,0.316,0.192,0.579,0.263,4.421,3.526,2.421,0.579,0.632,0.368,1.105,4.211
handily,['10po'],0.316,hand_arm,visual,hand_arm,0.358,0.488,0.276,0.6,0,3.05,0.947,1.75,0.684,0.75,0.211,0.7,2.053
handkerchief,['39to'],0.062,hand_arm,haptic,hand_arm,0.374,0.485,0.22,0.083,0,4.417,4.125,4.167,0.062,2.333,0.375,0.583,3.875
handkerchiefs,['65po'],0.062,hand_arm,haptic,hand_arm,0.374,0.485,0.22,0.083,0,4.417,4.125,4.167,0.062,2.333,0.375,0.583,3.875
handle,['69po'],0.421,hand_arm,haptic,hand_arm,0.529,0.383,0.248,0.381,0.263,4.19,3.526,1.905,0.526,0.333,0.316,0.476,3.474
handling,['12po'],0.824,hand_arm,visual,hand_arm,0.447,0.372,0.251,0.778,0.471,4.278,3.176,1.111,0.529,0.778,0.176,0.889,3.353
handsome,"['1po', '20po', '109po']",0.35,head,visual,visual,0.66,0.557,0.349,0.238,0.3,0.333,0.8,3.286,1.25,0.333,0.3,0.429,4.45
hang,['20po'],0.842,hand_arm,visual,visual,0.21,0.423,0.203,1.688,0.421,2.875,1.632,2.125,0.737,1.25,0.684,1,3.895
hanging,"['4po', '64po', '80po', '109po']",0.647,hand_arm,visual,visual,0.333,0.6,0.281,0.947,0.294,3.526,1.471,1.842,0.529,0.737,0,1.316,4.412
hardening,['2po'],0.632,hand_arm,haptic,haptic,0.336,0.45,0.275,0.5,0.211,2.3,4,0.95,0.632,1.05,0.211,0.55,2.737
harder,['5po'],0.529,hand_arm,haptic,haptic,0.188,0.46,0.24,0.95,0.059,2,3.353,1.7,1.529,1.25,0,0.75,1.824
hardly,"['10po', '19po', '58po', '109po']",1.429,head,visual,visual,0.381,0.207,0.158,0.464,0.486,0.536,0.714,1.536,0.8,0.714,0.571,0.214,1.657
hardness,['58po'],0.794,hand_arm,haptic,haptic,0.264,0.515,0.229,2.069,0.206,3.931,4.412,1.966,0.471,1.655,0,1.103,2.676
harm,"['65po', '109po']",2.579,head,visual,visual,0.128,0.313,0.178,1.471,0.211,2.118,2.632,2.235,2.211,1.765,0.105,1.118,3.684
harmony,"['58po', '109po']",3.278,head,auditory,head,0.331,0.314,0.173,0.622,0.417,0.865,0.889,3.297,2.806,2.243,0.222,1.054,2.111
haste,['11po'],1.2,foot_leg,visual,visual,0.117,0.49,0.179,2.85,0,2.5,0.2,2.5,1.867,1.7,0,1.55,3.133
hat,"['14to', '42po', '53po', '72po', '109po']",0.059,head,visual,visual,0.618,0.547,0.304,0.25,0,1.35,3.059,4.3,0.294,0.4,0.294,0.25,4.471
hate,['59po'],2.684,head,interoceptive,interoceptive,0.292,0.317,0.184,0.714,0.211,1.19,1.053,2.952,3.579,1.952,0.316,0.857,2.789
hats,"['42to', '42po']",0.059,head,visual,visual,0.618,0.547,0.304,0.25,0,1.35,3.059,4.3,0.294,0.4,0.294,0.25,4.471
head,"['45po', '54po', '109po']",1.053,head,visual,head,0.515,0.378,0.232,0.158,0.474,0.737,3,4.632,0.842,2.789,0.737,0.368,4.474
hearts,['68po'],1.05,torso,interoceptive,interoceptive,0.279,0.391,0.181,0.429,0.15,1.524,0.55,1.81,2.35,0.619,0.1,2.286,1.55
hearty,['11po'],1.316,mouth,interoceptive,interoceptive,0.273,0.14,0.109,0.632,2.211,1.421,1.316,1.421,2.684,2.684,1.105,1.368,2.632
heat,"['58po', '97po']",0.438,hand_arm,haptic,haptic,0.066,0.358,0.147,2.9,0.562,3.3,4.062,2.95,3.375,2.35,0.688,3,1
heated,['92po'],0.438,hand_arm,haptic,haptic,0.066,0.358,0.147,2.9,0.562,3.3,4.062,2.95,3.375,2.35,0.688,3,1
heating,['60po'],0.529,hand_arm,haptic,haptic,0.164,0.331,0.153,1.368,0.412,2.684,3.059,2.421,2.412,1.158,0.765,1.684,0.824
heavily,['60po'],0.944,hand_arm,visual,hand_arm,0.273,0.344,0.179,2.789,0.056,3.632,2.722,2,1.611,0.474,0.111,2.684,2.944
heaviness,['4po'],0.944,hand_arm,haptic,haptic,0.236,0.304,0.152,2.263,0.278,3,3.333,1.368,2.389,0.632,0.389,2.789,2.722
heavy,"['5po', '61po', '109po']",0.438,hand_arm,haptic,hand_arm,0.243,0.405,0.202,2.474,0.125,4.211,3.312,2.105,1.688,1.211,0.188,2.368,2.125
height,"['65po', '109po']",0.444,head,visual,visual,0.276,0.589,0.318,1.789,0,0.842,1.667,2.105,1.111,0.263,0,1.684,4.611
held,"['16po', '109po']",0.353,hand_arm,haptic,hand_arm,0.433,0.487,0.255,0.684,0,4.579,4.353,1.632,0.647,1.316,0,0.789,3.588
hen,['68po'],2.944,head,visual,visual,0.297,0.293,0.215,0.75,1.333,1.65,1.944,2,0.556,0.8,1.5,0.35,4.222
high,"['33po', '54po']",0.944,head,visual,head,0.34,0.351,0.19,0.667,0.167,1.333,1.111,3.238,2.444,1.571,0.722,0.762,3.167
hill,"['73po', '109po']",0.294,foot_leg,visual,visual,0.382,0.519,0.29,2.65,0.235,0.85,1.647,1.9,1,0.15,0.412,1,4.353
hoary,['69po'],0,head,visual,visual,0.685,0.868,0.493,0.167,0.054,0.167,0.189,2.944,0.432,0.333,0.027,0.444,4.622
hold,"['35po', '58po']",0.353,hand_arm,haptic,hand_arm,0.433,0.487,0.255,0.684,0,4.579,4.353,1.632,0.647,1.316,0,0.789,3.588
holder,['16po'],0.474,hand_arm,visual,hand_arm,0.45,0.393,0.226,0.611,0.105,3.222,2.842,1.444,0.947,0.222,0.053,1.167,2.947
holders,['63po'],0.474,hand_arm,visual,hand_arm,0.45,0.393,0.226,0.611,0.105,3.222,2.842,1.444,0.947,0.222,0.053,1.167,2.947
hole,"['40po', '48po', '107po', '109po']",0.389,foot_leg,visual,visual,0.167,0.512,0.247,2.167,0.222,2.056,1.889,1.611,0.5,0.889,0.278,0.944,3.889
holes,"['10po', '63po']",0.389,foot_leg,visual,visual,0.167,0.512,0.247,2.167,0.222,2.056,1.889,1.611,0.5,0.889,0.278,0.944,3.889
holey,['69po'],0.077,head,visual,visual,0.31,0.545,0.289,0.625,0,1,2.077,2.25,0.538,0.625,0,0.75,3.231
hollow,['53po'],2.444,head,visual,visual,0.278,0.352,0.231,0.579,0,1.316,2.333,1.842,1.278,0.947,0.278,0.421,3.444
hollows,['53po'],2.444,head,visual,visual,0.278,0.352,0.231,0.579,0,1.316,2.333,1.842,1.278,0.947,0.278,0.421,3.444
holy,['68po'],1.9,head,visual,visual,0.265,0.368,0.19,0.571,0.05,0.905,0.2,2,1.25,1.286,0.15,0.619,2.15
hop,['93po'],0.588,foot_leg,visual,foot_leg,0.655,0.59,0.334,4,0,0.444,0.412,0.611,1.412,0,0,1.056,3.471
hope,"['1po', '17po', '37po', '45po', '54po', '58po']",2.4,head,interoceptive,head,0.395,0.338,0.186,0.45,0.333,0.95,0.333,3.35,3.333,1.85,0.333,0.75,2.133
hopes,['60po'],2.4,head,interoceptive,head,0.395,0.338,0.186,0.45,0.333,0.95,0.333,3.35,3.333,1.85,0.333,0.75,2.133
horticulture,['58po'],0.5,hand_arm,visual,visual,0.223,0.343,0.186,1.125,0.786,2.812,2.286,2.062,0.357,1.125,2,1,3.643
hot,"['40po', '77po', '106po']",0.647,hand_arm,haptic,haptic,0.04,0.303,0.127,3,1.765,3.579,4.118,3.368,2.412,3.053,0.824,2.947,1.706
hour,"['1po', '52po']",1,head,visual,head,0.42,0.376,0.273,0.6,0.05,0.7,0.3,3.05,1.7,1.05,0.05,0.55,1.95
house,"['45po', '56po', '60po']",0.438,head,visual,visual,0.236,0.542,0.243,2.571,0.062,2.429,1.875,3.429,0.688,0.857,0.938,1.619,4.875
housed,['17po'],1.111,head,visual,visual,0.3,0.367,0.196,0.368,0.278,1.053,0.889,1.947,0.944,1.526,0.333,0.368,2.5
hull,['56po'],0.444,hand_arm,visual,visual,0.382,0.53,0.321,0.556,0,1.611,2.333,1.5,0.167,0,0.111,0.556,3.444
hunter,"['50to', '50po']",2.235,head,visual,visual,0.265,0.451,0.206,1.45,0.235,2.65,0.471,2.9,0.353,0.65,0.412,0.85,3.471
hurriedly,['59po'],1.882,foot_leg,visual,foot_leg,0.142,0.439,0.176,3.444,0.176,2.389,0.353,2.389,1.941,1.778,0,1.778,3.412
hurry,"['58po', '84po']",1.182,foot_leg,visual,foot_leg,0.174,0.394,0.198,4.167,0,2.833,0.545,2.556,2.682,1.778,0,2.389,2.864
hurt,"['0po', '2po', '53po', '60po']",1.722,head,interoceptive,interoceptive,0.014,0.328,0.144,2.75,0.333,2.85,2.056,2.9,3.944,2.7,0.333,2.8,2.611
hurting,['23po'],2.211,hand_arm,interoceptive,interoceptive,0.047,0.369,0.172,2.789,0.053,2.842,2.421,2.684,4.368,2.211,0.053,2.842,2.579
hurts,['61po'],1.722,head,interoceptive,interoceptive,0.014,0.328,0.144,2.75,0.333,2.85,2.056,2.9,3.944,2.7,0.333,2.8,2.611
idle,['10po'],1.75,head,visual,visual,0.076,0.519,0.237,1.7,0,1.65,0.6,1.8,0.8,1.2,0.05,1.55,3.45
illusion,['4po'],0.444,head,visual,visual,0.537,0.68,0.331,0.368,0,0.947,0.389,3.421,0.889,0.526,0,0.421,3.667
illustration,['4po'],0.5,hand_arm,visual,visual,0.253,0.681,0.326,0.737,0.062,2.684,1.5,2.632,0.188,0.842,0,0.789,4.812
image,['4po'],0.136,head,visual,visual,0.415,0.777,0.366,0.579,0,1.579,0.955,3.526,0.318,0.789,0,0.632,4.909
imitation,['60po'],3,mouth,visual,visual,0.104,0.333,0.143,2.571,0.938,3.214,1.375,3,0.375,3.571,1.188,2.071,4
imitations,['60po'],3,mouth,visual,visual,0.104,0.333,0.143,2.571,0.938,3.214,1.375,3,0.375,3.571,1.188,2.071,4
incident,['12po'],2.632,head,visual,visual,0.222,0.358,0.185,1.4,0.316,1.6,0.789,2.8,1.105,1.85,0.684,0.9,3.579
incline,"['11po', '60po']",0.389,foot_leg,visual,visual,0.278,0.575,0.285,2.524,0,1.667,1.667,1.143,0.944,0.524,0,1.333,4.056
includes,['60po'],1.944,head,visual,head,0.283,0.302,0.168,0.619,0.389,1.667,0.667,2.952,1,2.333,0.5,0.667,2.5
increase,"['2po', '10po', '58po', '63po']",1.2,head,visual,visual,0.195,0.403,0.176,1.368,0.2,2.158,1.05,2.684,0.9,1.421,0.45,1,2.9
indicate,['10po'],1.889,hand_arm,visual,visual,0.284,0.339,0.159,0.526,0.278,2.579,1.278,1.947,0.556,2.368,0.278,0.368,2.611
indication,['37po'],3.125,head,auditory,auditory,0.32,0.346,0.229,0.25,0.375,1.25,0.5,1.75,0.75,1.4,0.438,0.2,2.75
influences,['59po'],3.2,head,auditory,auditory,0.229,0.347,0.167,1,0.2,1.591,0.25,3.045,1.7,2.773,0.25,0.909,3.05
ingenious,['60po'],2,head,visual,head,0.37,0.331,0.228,0.556,0,0.833,0.5,3,1.889,1.444,0,0.778,2.167
ink,"['34po', '56po']",0.167,hand_arm,visual,visual,0.339,0.711,0.349,0.5,0.111,2.3,0.389,1.85,0.111,0.4,0.667,0.55,3.944
ins,['83po'],0.7,head,visual,visual,0.078,0.359,0.141,2,0.3,2,1.55,2.579,0.9,1.789,0.45,1.789,2.65
inside,"['6po', '58po', '107po']",0.611,head,visual,visual,0.11,0.458,0.192,1.75,0.111,1.75,1.111,2.35,1.444,1.35,0.167,1.85,3.111
instant,['80po'],1.278,head,visual,visual,0.207,0.448,0.208,0.9,0.111,1.1,0.444,2.2,1.389,1.75,0,0.8,2.611
instead,['60po'],1.875,head,auditory,auditory,0.306,0.287,0.179,0.302,0.312,0.535,0.438,1.326,0.625,0.837,0.312,0.349,1.875
institution,['60po'],1.952,head,visual,visual,0.661,0.44,0.334,0.2,0.333,0.25,0.524,2.15,0.381,0.4,0.714,0.1,3.667
instruct,['60po'],3.882,mouth,auditory,auditory,0.247,0.42,0.189,0.778,0.176,2.556,0.588,3.222,0.412,3.444,0.235,0.778,3.529
instruction,['59po'],4.235,head,auditory,auditory,0.304,0.464,0.218,0.619,0.059,1.857,0.294,3.619,0.529,3.571,0.059,0.524,3.824
intended,['60po'],1.053,head,visual,head,0.339,0.419,0.264,0.65,0.053,0.8,0.158,2.55,1,1.15,0,0.6,1.632
intender,['59po'],1.632,head,auditory,head,0.441,0.298,0.247,0.3,0.158,0.7,0.316,2.75,1.105,1.5,0.158,0.3,1.579
intention,['4po'],2.294,head,auditory,head,0.284,0.438,0.23,0.8,0,1.1,0,2.9,1.353,1.7,0,0.9,1.588
intentional,['60po'],1.588,head,visual,head,0.176,0.362,0.203,1.476,0.059,2.048,0.176,3,1.059,1.952,0.059,1.286,1.765
intently,['60po'],1.625,head,interoceptive,head,0.41,0.213,0.163,0.381,0.625,0.762,1,2.762,2.5,1.333,0.625,0.571,2.438
interest,['2po'],2.158,head,visual,head,0.422,0.153,0.177,0.55,1.105,0.85,1.316,3.8,2.211,1.85,1.105,0.65,2.737
interleaved,['59po'],0.556,hand_arm,visual,visual,0.5,0.439,0.291,0.211,0.278,2.316,2.167,1.421,0.556,0.526,0.278,0.053,3.5
interpretation,['1po'],3.471,head,auditory,auditory,0.489,0.271,0.189,0.286,0.647,0.571,0.765,3.429,2.059,1.762,0.647,0.381,2.824
ivy,['2po'],0.294,head,visual,visual,0.323,0.401,0.244,0.636,0.529,2.091,2.294,2.227,0.294,0.364,1.647,0.455,3.882
jack,['57po'],1.412,hand_arm,visual,visual,0.258,0.394,0.215,0.526,0,1.842,1.706,1.316,0.294,0.526,0.294,0.895,2.412
jam,['45po'],0.526,mouth,gustatory,gustatory,0.15,0.269,0.168,1.476,4.526,2.19,2.842,2,0.526,2.286,3,0.952,3.474
japanese,"['1po', '27po']",1.294,head,visual,visual,0.331,0.479,0.249,0.714,0.765,0.762,0.294,2.714,0.353,1.714,0.647,0.571,3.647
jar,['60po'],0.412,hand_arm,visual,visual,0.612,0.494,0.308,0,0.118,3.381,4,1.619,0,0.381,0.118,0.143,4.529
jelly,['62po'],0.333,mouth,gustatory,gustatory,0.444,0.263,0.177,0.2,4,1.7,3,1.6,0.556,3.55,2.389,0.5,3.667
jerking,['58po'],2.973,head,visual,visual,0.186,0.383,0.172,1.789,0.189,2.474,0.946,3.263,1.135,1.947,0.081,1.263,3.432
jet,['61po'],3.722,head,visual,visual,0.326,0.421,0.249,1.227,0.056,1.136,0.389,2.5,0.278,0.5,0.611,0.773,3.778
joins,['54po'],0.778,hand_arm,visual,visual,0.145,0.33,0.152,0.842,0.167,1.789,0.944,1.737,1.444,1.316,0.222,0.842,2
joint,"['24po', '27po']",1,hand_arm,visual,visual,0.212,0.257,0.135,2.9,0.722,3.55,2.833,1.8,2.778,1.25,0.944,1.35,3.833
journey,['10po'],2.278,foot_leg,visual,foot_leg,0.184,0.232,0.139,3.952,0.639,2.429,1.306,3.333,2.167,1.476,0.889,2.286,3.028
joy,"['2po', '58po', '60po', '67po']",2.158,head,interoceptive,interoceptive,0.198,0.363,0.194,1.158,0.421,1.684,0.789,2.842,4.211,2.632,0.316,1,2.842
joyful,['58po'],2.176,head,interoceptive,interoceptive,0.289,0.3,0.172,0.789,0.471,1.263,0.941,3.211,3.824,2.105,0.471,1,3.294
judged,['41po'],4.118,head,auditory,auditory,0.371,0.493,0.259,0.333,0.235,0.667,0.176,3,0.882,2.857,0.176,0.333,2.412
juice,"['58po', '60po']",0.25,mouth,gustatory,gustatory,0.447,0.369,0.222,0.05,4.75,2.2,0.85,1.55,0.6,4.05,2.05,1.1,3.7
keep,['78po'],0.7,head,visual,head,0.217,0.387,0.194,0.81,0.25,2.619,1.2,2.667,0.5,1.524,0.1,0.952,1.9
kept,['61po'],0.062,hand_arm,visual,visual,0.132,0.514,0.189,1.1,0,2.1,1.562,1.9,0.375,1.2,0.125,1.25,2.25
kill,['57po'],1.95,hand_arm,visual,hand_arm,0.319,0.299,0.161,1.5,0.25,2.889,1.75,2.056,1.25,0.333,0.4,1.222,2.75
kind,"['0po', '2po', '11po', '24po', '38po', '54po', '58po', '60po', '65po', '66po']",2.35,head,visual,head,0.327,0.339,0.182,0.5,0.15,0.95,0.9,3.1,2.35,2.55,0.05,0.85,3.05
kindly,"['12po', '58po']",3.062,head,auditory,auditory,0.233,0.341,0.182,0.7,0.188,1.4,0.375,2.45,2.062,1.9,0.125,1.05,2.812
kindness,"['3po', '58po', '59po']",2.882,mouth,visual,visual,0.188,0.314,0.159,1.333,0.353,2.429,1.706,3.333,2.824,3.524,0.294,1.286,4.118
kinds,"['22po', '62po']",2.35,head,visual,head,0.327,0.339,0.182,0.5,0.15,0.95,0.9,3.1,2.35,2.55,0.05,0.85,3.05
king,['57po'],2.067,head,visual,visual,0.192,0.519,0.261,1,0.2,1.105,0.4,2.211,0.533,1.632,0.067,0.895,3.667
kitchen,['58po'],1.667,head,visual,visual,0.187,0.368,0.217,1.5,0.444,1.75,2.333,2.45,0.333,1,1.944,1.05,4.444
kite,['68po'],0.938,hand_arm,visual,visual,0.294,0.536,0.237,1.8,0,3.8,2.625,2.2,0.062,0.9,0,1.15,4.188
knife,['60po'],0.667,hand_arm,visual,visual,0.458,0.503,0.284,0.474,0.278,3.632,3.222,1.526,0.278,0.579,0,0.684,4.5
lace,"['45po', '52po']",0.789,hand_arm,visual,visual,0.331,0.399,0.226,1.095,0.105,2.762,3.632,2.095,0.842,0.381,0.158,0.857,3.842
lack,"['61po', '105po']",1.053,head,visual,head,0.383,0.326,0.195,0.238,0.105,1.048,0.737,1.952,1.263,0.857,0.105,0.381,1.737
ladies,"['41po', '52po']",3.5,head,visual,visual,0.192,0.273,0.154,1.45,0.556,1.75,2.278,3.45,1.111,1.95,1.778,1.8,4.222
laid,"['53po', '61po']",1,head,visual,visual,0.114,0.341,0.163,1.85,0.278,2.45,2.611,2.5,1.778,1.3,0.389,2.4,3.556
lake,"['60po', '109po']",1.474,foot_leg,visual,visual,0.172,0.418,0.222,2.2,0.316,2.1,2.579,2,0.263,0.65,1.053,2.05,4.526
lakes,['73po'],1.474,foot_leg,visual,visual,0.172,0.418,0.222,2.2,0.316,2.1,2.579,2,0.263,0.65,1.053,2.05,4.526
lamb,['59po'],2.941,head,visual,visual,0.264,0.276,0.194,0.3,2.941,1.5,2.294,1.95,0.176,1.85,2.294,0.65,4.294
lambs,['58po'],2.941,head,visual,visual,0.264,0.276,0.194,0.3,2.941,1.5,2.294,1.95,0.176,1.85,2.294,0.65,4.294
lamentable,['59po'],2.105,head,auditory,head,0.321,0.322,0.217,0.562,0.105,0.938,0.263,3.25,2,2.812,0.053,0.812,1.842
lamp,"['11po', '109po']",0.294,head,visual,visual,0.339,0.62,0.325,0.722,0,2.667,2.529,2.722,0,0.389,0.059,0.389,4.706
land,"['72po', '95po', '97po']",0.583,foot_leg,visual,visual,0.159,0.469,0.232,2.65,0.278,1.75,2.25,2,0.417,1.2,0.944,1.5,4.472
language,['60po'],4.75,mouth,auditory,auditory,0.48,0.458,0.264,0.105,0.375,0.474,0.5,3.263,0.562,3.895,0.312,0.158,3.188
languid,['58po'],1.16,head,interoceptive,interoceptive,0.109,0.509,0.179,2.524,0,2.333,0.04,3.19,3.48,1.81,0,2.762,2.16
languor,['61po'],0.6,head,interoceptive,interoceptive,0.115,0.509,0.208,2.238,0.067,2.238,0.2,2.571,3.867,1.333,0.2,2.429,2.533
lapse,['67po'],0.684,head,visual,visual,0.416,0.382,0.209,0.684,0.167,0.632,0.333,2.211,1,0.895,0.111,0.263,2.278
lard,['61po'],0.19,mouth,visual,visual,0.323,0.309,0.202,0.389,3.476,1.5,2.667,1.667,0.333,2.667,2.286,0.833,4.286
larder,['60po'],0.737,hand_arm,visual,visual,0.229,0.455,0.205,1.4,0.737,3.55,1.368,2.7,0.368,1.95,1.211,1.1,4.368
large,"['10po', '42po', '58po', '63po', '71po']",0.895,head,visual,visual,0.172,0.433,0.198,1.81,0.211,2.238,2.526,3.095,0.947,1.333,0.158,1.762,3.895
largely,['59po'],1.588,head,visual,visual,0.256,0.431,0.283,0.579,0.176,0.895,2.118,1.789,0.647,0.684,0.412,0.789,4.059
lashes,['81po'],2.059,hand_arm,visual,visual,0.283,0.443,0.292,0.545,0,1.909,2.059,1,1.059,0.545,0,0.818,4.118
last,"['10po', '18po', '49po', '91po', '109po']",1.474,head,visual,visual,0.185,0.513,0.289,0.789,0.105,0.737,0.526,1.632,0.737,0.895,0.105,0.789,3.316
