word,appears_in,Auditory.mean,Dominant.action,Dominant.perceptual,Dominant.sensorimotor,Exclusivity.action,Exclusivity.perceptual,Exclusivity.sensorimotor,Foot_leg.mean,Gustatory.mean,Hand_arm.mean,Haptic.mean,Head.mean,Interoceptive.mean,Mouth.mean,Olfactory.mean,Torso.mean,Visual.mean
sign,"['4po', '7po', '11po', '17po', '52po', '59po', '60po', '72po', '109po']",0.765,hand_arm,visual,visual,0.359,0.555,0.25,0.412,0.118,3.706,1.471,3.059,0.529,1.176,0.353,0.824,4.294
signal,['61po'],2.944,hand_arm,visual,visual,0.196,0.403,0.224,1,0.278,2.421,1.111,2.211,1.111,1.579,0.278,0.842,4.333
silence,"['58po', '59po', '60po', '62po', '109po']",4,head,auditory,auditory,0.433,0.713,0.333,0.474,0.059,0.579,0.176,3.211,0.588,1.579,0.059,0.474,0.647
silent,"['60po', '109po']",4,head,auditory,auditory,0.339,0.586,0.3,0.526,0,0.474,0.353,2.684,1.235,2.368,0,0.474,1.235
silk,"['4po', '59po', '68po']",1.312,hand_arm,haptic,haptic,0.239,0.337,0.173,1.7,0.312,3.2,3.938,2.4,0.812,0.75,0.5,2.2,3.875
silver,"['8po', '10po', '12po', '58po', '109po']",0.722,head,visual,visual,0.645,0.545,0.369,0.05,0.167,1.05,2.278,2.5,0,0.15,0.444,0.05,4.333
simple,"['36po', '58po', '98po', '109po']",2.438,head,visual,visual,0.28,0.277,0.164,0.684,0.5,0.737,0.875,2.263,1.312,1.263,0.375,0.684,2.625
simpler,"['4po', '58po', '109po']",1.889,head,visual,head,0.45,0.36,0.208,0.364,0.389,0.955,0.167,2.5,1.056,1,0.278,0.227,2.389
simply,['58po'],1.167,head,interoceptive,head,0.274,0.22,0.156,0.682,0.833,0.955,0.667,2.364,1.833,1.273,0.389,0.864,1.667
simultaneous,['59po'],1.933,head,visual,visual,0.1,0.376,0.162,1.789,0.267,1.684,0.667,2.368,0.733,1.632,0.333,1.474,2.8
sincere,"['58po', '59po']",3.529,head,auditory,auditory,0.477,0.291,0.189,0.095,0.353,0.19,0.588,3.476,3.294,2.81,0.294,0.524,3.059
sincerely,"['4po', '58po']",2.222,mouth,visual,mouth,0.265,0.3,0.163,0.6,0.167,0.85,0.389,2.25,2.056,2.4,0.111,0.7,2.278
